,Open,High,Low,Last,Date
2,1560.86,1570,1555.96,1570,2015-04-16
3,1572.88,1575.39,1566.65,1566.85,2015-04-17
4,1565.67,1567.04,1556.25,1560.32,2015-04-20
5,1566.35,1572.04,1565.3,1569.35,2015-04-21
6,1571.15,1571.5,1552,1552.01,2015-04-22
7,1556.61,1562.32,1543.47,1544.84,2015-04-23
8,1549.68,1556.1,1545.83,1555.46,2015-04-24
9,1559.2,1562.64,1546.66,1548.83,2015-04-27
10,1549.2,1549.53,1525.92,1531.53,2015-04-28
11,1521.55,1529.29,1513.42,1522.47,2015-04-29
12,1520.55,1531.5,1520.01,1526.74,2015-04-30
13,1529.56,1531.75,1514.79,1519.88,2015-05-06
14,1514.84,1521.86,1498.31,1498.31,2015-05-07
15,1502.29,1514.64,1494.92,1510.51,2015-05-08
16,1517.05,1520.49,1501.3,1501.3,2015-05-11
17,1499.28,1501.12,1478.9,1485.72,2015-05-12
18,1490.93,1497.02,1487.46,1495.95,2015-05-13
19,1496.2,1500.38,1484.95,1497.4,2015-05-14
20,1496.98,1512.19,1494.79,1512.19,2015-05-15
21,1510.21,1515.65,1505.67,1510.41,2015-05-18
22,1513.83,1527.6,1513.13,1525.96,2015-05-19
23,1527.65,1530.85,1518.38,1520.11,2015-05-20
24,1523.33,1529.94,1522.59,1526.25,2015-05-21
25,1533.17,1536.3,1522.06,1523.86,2015-05-22
26,1526.3,1528.13,1508.16,1508.16,2015-05-25
27,1508.12,1513.02,1497.98,1497.98,2015-05-26
28,1491.43,1501.61,1486.63,1500.84,2015-05-27
29,1502.49,1503.38,1487.15,1493.61,2015-05-28
30,1495.64,1500.5,1491.57,1496.05,2015-05-29
31,1492.45,1494.19,1476.28,1476.87,2015-06-02
32,1480.36,1487.38,1477.15,1482.07,2015-06-03
33,1484.57,1491.81,1476.16,1490.9,2015-06-04
34,1490.51,1509.06,1490.29,1507.37,2015-06-05
35,1507.72,1511.5,1501.62,1508.28,2015-06-08
36,1504.59,1505.23,1490.64,1492.32,2015-06-09
37,1496.65,1510.68,1496.37,1504.04,2015-06-10
38,1512.95,1518.34,1510.74,1514.81,2015-06-11
39,1515.64,1517.1,1506.69,1508.23,2015-06-12
40,1507.05,1507.66,1496.76,1501.89,2015-06-15
41,1502.26,1507.93,1501.28,1503.28,2015-06-16
42,1507.23,1516.52,1504.16,1514.79,2015-06-17
43,1517.13,1518.44,1506.57,1508.04,2015-06-18
44,1507.6,1508.19,1488.07,1491.46,2015-06-19
45,1492.55,1509.39,1492.18,1504.06,2015-06-22
46,1512.23,1513.31,1500.97,1503.23,2015-06-23
47,1507.39,1518.61,1506.72,1518.26,2015-06-24
48,1517.35,1523.42,1512.76,1519.47,2015-06-25
49,1520.92,1524.59,1516.96,1518.03,2015-06-26
50,1501.03,1516.93,1495.86,1511.19,2015-06-29
51,1510.18,1512.65,1499.15,1504.55,2015-06-30
52,1504.72,1505.41,1490.8,1491.62,2015-07-02
53,1490.44,1495.37,1485.5,1489.59,2015-07-03
54,1479.81,1482.23,1470.37,1473.23,2015-07-06
55,1477.16,1484.9,1475.88,1483.77,2015-07-07
56,1476.01,1478.97,1466.74,1470.25,2015-07-08
57,1469.59,1479.28,1461.57,1472.57,2015-07-09
58,1482.18,1486.29,1476.91,1484.9,2015-07-10
