,symbol,exchange,industry,sector,name
UAC,UAC,SET,สินค้าอุตสาหกรรม,ปิโตรเคมีและเคมีภัณฑ์,บริษัท ยูเอซี โกลบอล จำกัด (มหาชน)
UBIS,UBIS,MAI,สินค้าอุตสาหกรรม,-,บริษัท ยูบิส (เอเชีย) จำกัด (มหาชน)
UEC,UEC,MAI,สินค้าอุตสาหกรรม,-,บริษัท ยูนิมิต เอนจิเนียริ่ง จำกัด (มหาชน)
UKEM,UKEM,MAI,สินค้าอุตสาหกรรม,-,บริษัท ยูเนี่ยน ปิโตรเคมีคอล จำกัด (มหาชน)
UMI,UMI,SET,อสังหาริมทรัพย์และก่อสร้าง,วัสดุก่อสร้าง,บริษัท สหโมเสคอุตสาหกรรม จำกัด (มหาชน)
UMS,UMS,MAI,ทรัพยากร,-,บริษัท ยูนิค ไมนิ่ง เซอร์วิสเซส จำกัด (มหาชน)
UNIQ,UNIQ,SET,อสังหาริมทรัพย์และก่อสร้าง,บริการรับเหมาก่อสร้าง,บริษัท ยูนิค เอ็นจิเนียริ่ง แอนด์ คอนสตรัคชั่น จำกัด (มหาชน)
UOBKH,UOBKH,SET,ธุรกิจการเงิน,เงินทุนและหลักทรัพย์,บริษัทหลักทรัพย์ ยูโอบี เคย์เฮียน (ประเทศไทย) จำกัด (มหาชน)
UP,UP,SET,สินค้าอุตสาหกรรม,ปิโตรเคมีและเคมีภัณฑ์,บริษัท ยูเนี่ยนพลาสติก จำกัด (มหาชน)
UPA,UPA,MAI,เทคโนโลยี,-,บริษัท ยูไนเต็ด เพาเวอร์ ออฟ เอเชีย จำกัด (มหาชน)
UPF,UPF,SET,สินค้าอุปโภคบริโภค,แฟชั่น,บริษัท ยูเนี่ยนไพโอเนียร์ จำกัด (มหาชน)
UPOIC,UPOIC,SET,เกษตรและอุตสาหกรรมอาหาร,ธุรกิจการเกษตร,บริษัท สหอุตสาหกรรมน้ำมันปาล์ม จำกัด (มหาชน)
URBNPF,URBNPF,SET,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,กองทุนรวมสิทธิการเช่าอสังหาริมทรัพย์เออร์บานา
UREKA,UREKA,MAI,สินค้าอุตสาหกรรม,-,บริษัท ยูเรกา ดีไซน์ จำกัด (มหาชน)
UT,UT,SET,สินค้าอุปโภคบริโภค,แฟชั่น,บริษัท ยูเนี่ยนอุตสาหกรรมสิ่งทอ จำกัด (มหาชน)
UTP,UTP,SET,สินค้าอุตสาหกรรม,กระดาษและวัสดุการพิมพ์,บริษัท ยูไนเต็ด เปเปอร์ จำกัด (มหาชน)
UV,UV,SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,บริษัท ยูนิเวนเจอร์ จำกัด (มหาชน)
UWC,UWC,MAI,ทรัพยากร,-,บริษัท เอื้อวิทยา จำกัด (มหาชน)
VARO,VARO,SET,สินค้าอุตสาหกรรม,วัสดุอุตสาหกรรมและเครื่องจักร,บริษัท วโรปกรณ์ จำกัด (มหาชน)
VCOM,VCOM,MAI,เทคโนโลยี,-,บริษัท วินท์คอม เทคโนโลยี จำกัด (มหาชน)
VGI,VGI,SET,บริการ,สื่อและสิ่งพิมพ์,บริษัท วีจีไอ จำกัด (มหาชน)
VI,VI,SET,-,หมวดบริษัทจดทะเบียนที่อยู่ระหว่างฟื้นฟูการดำเนินงาน,บริษัท เวนเจอร์ อินคอร์ปอเรชั่น จำกัด (มหาชน)
VIBHA,VIBHA,SET,บริการ,การแพทย์,บริษัท โรงพยาบาลวิภาวดี จำกัด (มหาชน)
VIH,VIH,SET,บริการ,การแพทย์,บริษัท ศรีวิชัยเวชวิวัฒน์ จำกัด (มหาชน)
VL,VL,MAI,บริการ,-,บริษัท วี.แอล.เอ็นเตอร์ไพรส์ จำกัด (มหาชน)
VNG,VNG,SET,อสังหาริมทรัพย์และก่อสร้าง,วัสดุก่อสร้าง,บริษัท วนชัย กรุ๊ป จำกัด (มหาชน)
VNT,VNT,SET,สินค้าอุตสาหกรรม,ปิโตรเคมีและเคมีภัณฑ์,บริษัท วีนิไทย จำกัด (มหาชน)
VPO,VPO,SET,เกษตรและอุตสาหกรรมอาหาร,ธุรกิจการเกษตร,บริษัท วิจิตรภัณฑ์ปาล์มออยล์ จำกัด (มหาชน)
VRANDA,VRANDA,SET,บริการ,การท่องเที่ยวและสันทนาการ,บริษัท วีรันดา รีสอร์ท จำกัด (มหาชน)
WACOAL,WACOAL,SET,สินค้าอุปโภคบริโภค,แฟชั่น,บริษัท ไทยวาโก้ จำกัด (มหาชน)
WAVE,WAVE,SET,บริการ,สื่อและสิ่งพิมพ์,บริษัท เวฟ เอ็นเตอร์เทนเมนท์ จำกัด (มหาชน)
WG,WG,SET,สินค้าอุตสาหกรรม,ปิโตรเคมีและเคมีภัณฑ์,บริษัท ไว้ท์กรุ๊ป จำกัด (มหาชน)
WHA,WHA,SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,บริษัท ดับบลิวเอชเอ คอร์ปอเรชั่น จำกัด (มหาชน)
WHABT,WHABT,SET,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่าดับบลิวเอชเอ บิสซิเนส คอมเพล็กซ์
WHART,WHART,SET,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่าดับบลิวเอชเอ พรีเมี่ยม โกรท
WHAUP,WHAUP,SET,ทรัพยากร,พลังงานและสาธารณูปโภค,บริษัท ดับบลิวเอชเอ ยูทิลิตี้ส์ แอนด์ พาวเวอร์ จำกัด (มหาชน)
WICE,WICE,SET,บริการ,ขนส่งและโลจิสติกส์,บริษัท ไวส์ โลจิสติกส์ จำกัด (มหาชน)
WIIK,WIIK,SET,อสังหาริมทรัพย์และก่อสร้าง,วัสดุก่อสร้าง,บริษัท วิค จำกัด (มหาชน)
WIN,WIN,SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,บริษัท สวนอุตสาหกรรม วินโคสท์ จำกัด (มหาชน)
WINNER,WINNER,MAI,บริการ,-,บริษัท วินเนอร์กรุ๊ป เอ็นเตอร์ไพรซ์ จำกัด (มหาชน)
WORK,WORK,SET,บริการ,สื่อและสิ่งพิมพ์,บริษัท เวิร์คพอยท์ เอ็นเทอร์เทนเมนท์ จำกัด (มหาชน)
WORLD,WORLD,SET,-,หมวดบริษัทจดทะเบียนที่อยู่ระหว่างฟื้นฟูการดำเนินงาน,บริษัท เวิลด์ คอร์ปอเรชั่น จำกัด (มหาชน)
WP,WP,SET,ทรัพยากร,พลังงานและสาธารณูปโภค,บริษัท ดับบลิวพี เอ็นเนอร์ยี่ จำกัด (มหาชน)
WPH,WPH,SET,บริการ,การแพทย์,บริษัท โรงพยาบาลวัฒนแพทย์ ตรัง จำกัด (มหาชน)
XO,XO,MAI,เกษตรและอุตสาหกรรมอาหาร,-,บริษัท เอ็กโซติค ฟู้ด จำกัด (มหาชน)
YCI,YCI,SET,สินค้าอุตสาหกรรม,ปิโตรเคมีและเคมีภัณฑ์,บริษัท ยงไทย จำกัด (มหาชน)
YGG,YGG,MAI,บริการ,-,บริษัท อิ๊กดราซิล กรุ๊ป จำกัด (มหาชน)
YUASA,YUASA,MAI,สินค้าอุตสาหกรรม,-,บริษัท ยัวซ่าแบตเตอรี่ ประเทศไทย จำกัด (มหาชน)
ZEN,ZEN,SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม,บริษัท เซ็น คอร์ปอเรชั่น กรุ๊ป จำกัด (มหาชน)
ZIGA,ZIGA,MAI,สินค้าอุตสาหกรรม,-,บริษัท ซิก้า อินโนเวชั่น จำกัด (มหาชน)
ZMICO,ZMICO,SET,ธุรกิจการเงิน,เงินทุนและหลักทรัพย์,บริษัทหลักทรัพย์ ซีมิโก้ จำกัด (มหาชน)
