,symbol,exchange,industry,sector,name
BGRIM,BGRIM,SET,ทรัพยากร,พลังงานและสาธารณูปโภค,บริษัท บี.กริม เพาเวอร์ จำกัด (มหาชน)
BGT,BGT,MAI,สินค้าอุปโภคบริโภค,-,บริษัท บีจีที คอร์ปอเรชั่น จำกัด (มหาชน)
BH,BH,SET,บริการ,การแพทย์,บริษัท โรงพยาบาลบำรุงราษฎร์ จำกัด (มหาชน)
BIG,BIG,SET,บริการ,พาณิชย์,บริษัท บิ๊ก คาเมร่า คอร์ปอเรชั่น จำกัด (มหาชน)
BIZ,BIZ,MAI,สินค้าอุปโภคบริโภค,-,บริษัท บิสซิเนสอะไลเม้นท์ จำกัด (มหาชน)
BJC,BJC,SET,บริการ,พาณิชย์,บริษัท เบอร์ลี่ ยุคเกอร์ จำกัด (มหาชน)
BJCHI,BJCHI,SET,อสังหาริมทรัพย์และก่อสร้าง,บริการรับเหมาก่อสร้าง,บริษัท บีเจซี เฮฟวี่ อินดัสทรี จำกัด (มหาชน)
BKD,BKD,SET,อสังหาริมทรัพย์และก่อสร้าง,บริการรับเหมาก่อสร้าง,บริษัท บางกอก เดค-คอน จำกัด (มหาชน)
BKI,BKI,SET,ธุรกิจการเงิน,ประกันภัยและประกันชีวิต,บริษัท กรุงเทพประกันภัย จำกัด (มหาชน)
BLA,BLA,SET,ธุรกิจการเงิน,ประกันภัยและประกันชีวิต,บริษัท กรุงเทพประกันชีวิต จำกัด (มหาชน)
BM,BM,MAI,สินค้าอุตสาหกรรม,-,บริษัท บางกอกชีทเม็ททัล จำกัด (มหาชน)
BOFFICE,BOFFICE,SET,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,ทรัสต์เพื่อการลงทุนในสิทธิการเช่าอสังหาริมทรัพย์ภิรัชออฟฟิศ
BOL,BOL,MAI,บริการ,-,บริษัท บิซิเนส ออนไลน์ จำกัด (มหาชน)
BPP,BPP,SET,ทรัพยากร,พลังงานและสาธารณูปโภค,บริษัท บ้านปู เพาเวอร์ จำกัด (มหาชน)
BR,BR,SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม,บริษัท บางกอกแร้นช์ จำกัด (มหาชน)
BROCK,BROCK,SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,บริษัท บ้านร็อคการ์เด้น จำกัด (มหาชน)
BROOK,BROOK,MAI,ธุรกิจการเงิน,-,บริษัท บรุ๊คเคอร์ กรุ๊ป จำกัด (มหาชน)
BRR,BRR,SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม,บริษัท น้ำตาลบุรีรัมย์ จำกัด (มหาชน)
BRRGIF,BRRGIF,SET,ทรัพยากร,พลังงานและสาธารณูปโภค,กองทุนรวมโครงสร้างพื้นฐานโรงไฟฟ้ากลุ่มน้ำตาลบุรีรัมย์
BSBM,BSBM,SET,สินค้าอุตสาหกรรม,เหล็ก,บริษัท บางสะพานบาร์มิล จำกัด (มหาชน)
BSM,BSM,MAI,อสังหาริมทรัพย์และก่อสร้าง,-,บริษัท บิวเดอสมาร์ท จำกัด (มหาชน)
BTNC,BTNC,SET,สินค้าอุปโภคบริโภค,แฟชั่น,บริษัท บูติคนิวซิตี้ จำกัด (มหาชน)
BTS,BTS,SET,บริการ,ขนส่งและโลจิสติกส์,บริษัท บีทีเอส กรุ๊ป โฮลดิ้งส์ จำกัด (มหาชน)
BTSGIF,BTSGIF,SET,บริการ,ขนส่งและโลจิสติกส์,กองทุนรวมโครงสร้างพื้นฐานระบบขนส่งมวลชนทางราง บีทีเอสโกรท
BTW,BTW,MAI,อสังหาริมทรัพย์และก่อสร้าง,-,บริษัท บีที เวลธ์ อินดัสตรีส์ จำกัด (มหาชน)
BUI,BUI,SET,ธุรกิจการเงิน,ประกันภัยและประกันชีวิต,บริษัท บางกอกสหประกันภัย จำกัด (มหาชน)
BWG,BWG,SET,บริการ,บริการเฉพาะกิจ,บริษัท เบตเตอร์ เวิลด์ กรีน จำกัด (มหาชน)
B-WORK,B-WORK,SET,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,ทรัสต์เพื่อการลงทุนในสิทธิการเช่าอสังหาริมทรัพย์บัวหลวง ออฟฟิศ
CAZ,CAZ,MAI,อสังหาริมทรัพย์และก่อสร้าง,-,บริษัท ซี เอ แซด (ประเทศไทย) จำกัด (มหาชน)
CBG,CBG,SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม,บริษัท คาราบาวกรุ๊ป จำกัด (มหาชน)
CCET,CCET,SET,เทคโนโลยี,ชิ้นส่วนอิเล็กทรอนิกส์,บริษัท แคล-คอมพ์ อีเล็คโทรนิคส์ (ประเทศไทย) จำกัด (มหาชน)
CCP,CCP,SET,อสังหาริมทรัพย์และก่อสร้าง,วัสดุก่อสร้าง,บริษัท ผลิตภัณฑ์คอนกรีตชลบุรี จำกัด (มหาชน)
CEN,CEN,SET,สินค้าอุตสาหกรรม,เหล็ก,บริษัท แคปปิทอล เอ็นจิเนียริ่ง เน็ตเวิร์ค จำกัด (มหาชน)
CENTEL,CENTEL,SET,บริการ,การท่องเที่ยวและสันทนาการ,บริษัท โรงแรมเซ็นทรัลพลาซา จำกัด (มหาชน)
CFRESH,CFRESH,SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม,บริษัท ซีเฟรชอินดัสตรี จำกัด (มหาชน)
CGD,CGD,SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,บริษัท คันทรี่ กรุ๊ป ดีเวลลอปเมนท์ จำกัด (มหาชน)
CGH,CGH,SET,ธุรกิจการเงิน,เงินทุนและหลักทรัพย์,บริษัท คันทรี่ กรุ๊ป โฮลดิ้งส์ จำกัด (มหาชน)
CHARAN,CHARAN,SET,ธุรกิจการเงิน,ประกันภัยและประกันชีวิต,บริษัท จรัญประกันภัย จำกัด (มหาชน)
CHAYO,CHAYO,MAI,ธุรกิจการเงิน,-,บริษัท ชโย กรุ๊ป จำกัด (มหาชน)
CHEWA,CHEWA,MAI,อสังหาริมทรัพย์และก่อสร้าง,-,บริษัท ชีวาทัย จำกัด (มหาชน)
CHG,CHG,SET,บริการ,การแพทย์,บริษัท โรงพยาบาลจุฬารัตน์ จำกัด (มหาชน)
CHO,CHO,MAI,สินค้าอุตสาหกรรม,-,บริษัท ช ทวี จำกัด (มหาชน)
CHOTI,CHOTI,SET,เกษตรและอุตสาหกรรมอาหาร,ธุรกิจการเกษตร,บริษัท ห้องเย็นโชติวัฒน์หาดใหญ่ จำกัด (มหาชน)
CHOW,CHOW,MAI,สินค้าอุตสาหกรรม,-,บริษัท เชาว์ สตีล อินดัสทรี้ จำกัด (มหาชน)
CHUO,CHUO,MAI,บริการ,-,บริษัท ชูโอ เซ็นโก (ประเทศไทย) จำกัด (มหาชน)
CI,CI,SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,บริษัท ชาญอิสสระ ดีเวล็อปเมนท์ จำกัด (มหาชน)
CIG,CIG,MAI,สินค้าอุตสาหกรรม,-,บริษัท ซี.ไอ.กรุ๊ป จำกัด (มหาชน)
CIMBT,CIMBT,SET,ธุรกิจการเงิน,ธนาคาร,ธนาคาร ซีไอเอ็มบี ไทย จำกัด (มหาชน)
CITY,CITY,SET,สินค้าอุตสาหกรรม,เหล็ก,บริษัท ซิตี้ สตีล จำกัด (มหาชน)
CK,CK,SET,อสังหาริมทรัพย์และก่อสร้าง,บริการรับเหมาก่อสร้าง,บริษัท ช.การช่าง จำกัด (มหาชน)
CKP,CKP,SET,ทรัพยากร,พลังงานและสาธารณูปโภค,บริษัท ซีเค พาวเวอร์ จำกัด (มหาชน)
CM,CM,SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม,บริษัท เชียงใหม่โฟรเซ่นฟู้ดส์ จำกัด(มหาชน)
CMAN,CMAN,SET,สินค้าอุตสาหกรรม,ปิโตรเคมีและเคมีภัณฑ์,บริษัท เคมีแมน จำกัด (มหาชน)
CMC,CMC,MAI,อสังหาริมทรัพย์และก่อสร้าง,-,บริษัท เจ้าพระยามหานคร จำกัด (มหาชน)
CMO,CMO,MAI,บริการ,-,บริษัท ซีเอ็มโอ จำกัด (มหาชน)
CMR,CMR,SET,บริการ,การแพทย์,บริษัท เชียงใหม่รามธุรกิจการแพทย์ จำกัด (มหาชน)
CNS,CNS,SET,ธุรกิจการเงิน,เงินทุนและหลักทรัพย์,บริษัทหลักทรัพย์ โนมูระ พัฒนสิน จำกัด (มหาชน)
CNT,CNT,SET,อสังหาริมทรัพย์และก่อสร้าง,บริการรับเหมาก่อสร้าง,บริษัท คริสเตียนีและนีลเส็น (ไทย) จำกัด (มหาชน)
COL,COL,SET,บริการ,พาณิชย์,บริษัท ซีโอแอล จำกัด (มหาชน)
COLOR,COLOR,MAI,สินค้าอุตสาหกรรม,-,บริษัท สาลี่ คัลเล่อร์ จำกัด (มหาชน)
COMAN,COMAN,MAI,เทคโนโลยี,-,บริษัท โคแมนชี่ อินเตอร์เนชั่นแนล จำกัด (มหาชน)
COTTO,COTTO,SET,อสังหาริมทรัพย์และก่อสร้าง,วัสดุก่อสร้าง,บริษัท เอสซีจี เซรามิกส์ จำกัด (มหาชน)
CPALL,CPALL,SET,บริการ,พาณิชย์,บริษัท ซีพี ออลล์ จำกัด (มหาชน)
CPF,CPF,SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม,บริษัท เจริญโภคภัณฑ์อาหาร จำกัด (มหาชน)
CPH,CPH,SET,สินค้าอุปโภคบริโภค,แฟชั่น,บริษัท คาสเซ่อร์พีคโฮลดิ้งส์ จำกัด (มหาชน)
CPI,CPI,SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม,บริษัท ชุมพรอุตสาหกรรมน้ำมันปาล์ม จำกัด (มหาชน)
CPL,CPL,SET,สินค้าอุปโภคบริโภค,แฟชั่น,บริษัท ซีพีแอล กรุ๊ป จำกัด (มหาชน)
CPN,CPN,SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,บริษัท เซ็นทรัลพัฒนา จำกัด (มหาชน)
CPNCG,CPNCG,SET,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,กองทุนรวมสิทธิการเช่าอสังหาริมทรัพย์ CPN คอมเมอร์เชียล โกรท
CPNREIT,CPNREIT,SET,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,ทรัสต์เพื่อการลงทุนในสิทธิการเช่าอสังหาริมทรัพย์ CPN รีเทล โกรท
CPR,CPR,MAI,สินค้าอุตสาหกรรม,-,บริษัท ซีพีอาร์ โกมุ อินดัสเตรียล จำกัด (มหาชน)
CPT,CPT,SET,สินค้าอุตสาหกรรม,วัสดุอุตสาหกรรมและเครื่องจักร,บริษัท ซีพีที ไดร์ แอนด์ เพาเวอร์ จำกัด (มหาชน)
CPTGF,CPTGF,SET,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,กองทุนรวมสิทธิการเช่าอสังหาริมทรัพย์ ซี.พี.ทาวเวอร์ โกรท
CPW,CPW,SET,บริการ,พาณิชย์,บริษัท คอปเปอร์ ไวร์ด จำกัด (มหาชน)
CRANE,CRANE,SET,สินค้าอุตสาหกรรม,วัสดุอุตสาหกรรมและเครื่องจักร,บริษัท ชูไก จำกัด (มหาชน)
CRD,CRD,MAI,อสังหาริมทรัพย์และก่อสร้าง,-,บริษัท เชียงใหม่ริมดอย จำกัด (มหาชน)
CSC,CSC,SET,สินค้าอุตสาหกรรม,บรรจุภัณฑ์,บริษัท ฝาจีบ จำกัด (มหาชน)
CSP,CSP,SET,สินค้าอุตสาหกรรม,เหล็ก,บริษัท ซีเอสพี สตีลเซ็นเตอร์ จำกัด (มหาชน)
CSR,CSR,SET,บริการ,การท่องเที่ยวและสันทนาการ,บริษัท เทพธานีกรีฑา จำกัด (มหาชน)
CSS,CSS,SET,บริการ,พาณิชย์,บริษัท คอมมิวนิเคชั่น แอนด์ ซิสเต็มส์ โซลูชั่น จำกัด (มหาชน)
CTW,CTW,SET,สินค้าอุตสาหกรรม,วัสดุอุตสาหกรรมและเครื่องจักร,บริษัท จรุงไทยไวร์แอนด์เคเบิ้ล จำกัด (มหาชน)
CWT,CWT,SET,สินค้าอุตสาหกรรม,ยานยนต์,บริษัท ชัยวัฒนา แทนเนอรี่ กรุ๊ป จำกัด (มหาชน)
DCC,DCC,SET,อสังหาริมทรัพย์และก่อสร้าง,วัสดุก่อสร้าง,บริษัท ไดนาสตี้เซรามิค จำกัด (มหาชน)
DCON,DCON,SET,อสังหาริมทรัพย์และก่อสร้าง,วัสดุก่อสร้าง,บริษัท ดีคอนโปรดักส์ จำกัด (มหาชน)
DCORP,DCORP,MAI,บริการ,-,บริษัท ดีมีเตอร์ คอร์ปอเรชั่น จำกัด (มหาชน)
DDD,DDD,SET,สินค้าอุปโภคบริโภค,ของใช้ส่วนตัวและเวชภัณฑ์,บริษัท ดู เดย์ ดรีม จำกัด (มหาชน)
DELTA,DELTA,SET,เทคโนโลยี,ชิ้นส่วนอิเล็กทรอนิกส์,บริษัทเดลต้า อีเลคโทรนิคส์ (ประเทศไทย) จำกัด (มหาชน)
DEMCO,DEMCO,SET,ทรัพยากร,พลังงานและสาธารณูปโภค,บริษัท เด็มโก้ จำกัด (มหาชน)
DIF,DIF,SET,เทคโนโลยี,เทคโนโลยีสารสนเทศและการสื่อสาร,กองทุนรวมโครงสร้างพื้นฐานโทรคมนาคม ดิจิทัล
DIMET,DIMET,MAI,อสังหาริมทรัพย์และก่อสร้าง,-,บริษัท ไดเมท (สยาม) จำกัด (มหาชน)
DOD,DOD,MAI,สินค้าอุปโภคบริโภค,-,บริษัท ดีโอดี ไบโอเทค จำกัด (มหาชน)
DOHOME,DOHOME,SET,บริการ,พาณิชย์,บริษัท ดูโฮม จำกัด (มหาชน)
DREIT,DREIT,SET,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่าดุสิตธานี
DRT,DRT,SET,อสังหาริมทรัพย์และก่อสร้าง,วัสดุก่อสร้าง,บริษัท ผลิตภัณฑ์ตราเพชร จำกัด (มหาชน)
DTCI,DTCI,SET,สินค้าอุปโภคบริโภค,ของใช้ในครัวเรือนและสำนักงาน,บริษัท ดี.ที.ซี.อินดัสตรี่ส์ จำกัด (มหาชน)
EA,EA,SET,ทรัพยากร,พลังงานและสาธารณูปโภค,บริษัท พลังงานบริสุทธิ์ จำกัด (มหาชน)
EASON,EASON,SET,สินค้าอุตสาหกรรม,ยานยนต์,บริษัท อีซึ่น เพ้นท์ จำกัด (มหาชน)
EASTW,EASTW,SET,ทรัพยากร,พลังงานและสาธารณูปโภค,บริษัท จัดการและพัฒนาทรัพยากรน้ำภาคตะวันออก จำกัด (มหาชน)
ECF,ECF,MAI,สินค้าอุปโภคบริโภค,-,บริษัท อีสต์โคสท์เฟอร์นิเทค จำกัด (มหาชน)
ECL,ECL,SET,ธุรกิจการเงิน,เงินทุนและหลักทรัพย์,บริษัท ตะวันออกพาณิชย์ลีสซิ่ง จำกัด (มหาชน)
EE,EE,SET,เกษตรและอุตสาหกรรมอาหาร,ธุรกิจการเกษตร,บริษัท อีเทอเนิล เอนเนอยี จำกัด (มหาชน)
EGATIF,EGATIF,SET,ทรัพยากร,พลังงานและสาธารณูปโภค,กองทุนรวมโครงสร้างพื้นฐาน โรงไฟฟ้าพระนครเหนือ ชุดที่ 1 การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย
EGCO,EGCO,SET,ทรัพยากร,พลังงานและสาธารณูปโภค,บริษัท ผลิตไฟฟ้า จำกัด (มหาชน)
EIC,EIC,SET,เทคโนโลยี,ชิ้นส่วนอิเล็กทรอนิกส์,บริษัท อุตสาหกรรม อีเล็คโทรนิคส์ จำกัด (มหาชน)
EKH,EKH,SET,บริการ,การแพทย์,บริษัท เอกชัยการแพทย์ จำกัด (มหาชน)
EMC,EMC,SET,อสังหาริมทรัพย์และก่อสร้าง,บริการรับเหมาก่อสร้าง,บริษัท อีเอ็มซี จำกัด (มหาชน)
EPCO,EPCO,SET,บริการ,สื่อและสิ่งพิมพ์,บริษัท โรงพิมพ์ตะวันออก จำกัด (มหาชน)
EPG,EPG,SET,อสังหาริมทรัพย์และก่อสร้าง,วัสดุก่อสร้าง,บริษัท อีสเทิร์นโพลีเมอร์ กรุ๊ป จำกัด (มหาชน)
ERW,ERW,SET,บริการ,การท่องเที่ยวและสันทนาการ,บริษัท ดิ เอราวัณ กรุ๊ป จำกัด (มหาชน)
ERWPF,ERWPF,SET,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,กองทุนรวมอสังหาริมทรัพย์เอราวัณ โฮเทล โกรท
ESSO,ESSO,SET,ทรัพยากร,พลังงานและสาธารณูปโภค,บริษัท เอสโซ่ (ประเทศไทย) จำกัด (มหาชน)
ESTAR,ESTAR,SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,บริษัท อีสเทอร์น สตาร์ เรียล เอสเตท จำกัด (มหาชน)
ETE,ETE,MAI,บริการ,-,บริษัท บูรพา เทคนิคอล เอ็นจิเนียริ่ง จำกัด (มหาชน)
EVER,EVER,SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,บริษัท เอเวอร์แลนด์ จำกัด (มหาชน)
FANCY,FANCY,SET,สินค้าอุปโภคบริโภค,ของใช้ในครัวเรือนและสำนักงาน,บริษัท แฟนซีวู๊ด อินดัสตรีส จำกัด (มหาชน)
FE,FE,SET,บริการ,สื่อและสิ่งพิมพ์,บริษัท ฟาร์อีสท์ เฟมไลน์ ดีดีบี จำกัด (มหาชน)
FLOYD,FLOYD,MAI,อสังหาริมทรัพย์และก่อสร้าง,-,บริษัท ฟลอยด์ จำกัด (มหาชน)
FMT,FMT,SET,สินค้าอุตสาหกรรม,วัสดุอุตสาหกรรมและเครื่องจักร,บริษัท ฟูรูกาวา เม็ททัล (ไทยแลนด์) จำกัด (มหาชน)
FN,FN,SET,บริการ,พาณิชย์,บริษัท เอฟเอ็น แฟคตอรี่ เอ๊าท์เลท จำกัด (มหาชน)
FNS,FNS,SET,ธุรกิจการเงิน,เงินทุนและหลักทรัพย์,บริษัท ฟินันซ่า จำกัด (มหาชน)
FORTH,FORTH,SET,เทคโนโลยี,เทคโนโลยีสารสนเทศและการสื่อสาร,บริษัท ฟอร์ท คอร์ปอเรชั่น  จำกัด (มหาชน)
FPI,FPI,MAI,สินค้าอุตสาหกรรม,-,บริษัท ฟอร์จูน พาร์ท อินดัสตรี้ จำกัด (มหาชน)
FPT,FPT,SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,บริษัท เฟรเซอร์ส พร็อพเพอร์ตี้ (ประเทศไทย) จำกัด (มหาชน)
FSMART,FSMART,MAI,บริการ,-,บริษัท ฟอร์ท สมาร์ท เซอร์วิส จำกัด (มหาชน)
FSS,FSS,SET,ธุรกิจการเงิน,เงินทุนและหลักทรัพย์,บริษัทหลักทรัพย์ ฟินันเซีย ไซรัส จำกัด (มหาชน)
FTE,FTE,SET,บริการ,พาณิชย์,บริษัท ไฟร์เทรดเอ็นจิเนียริ่ง จำกัด (มหาชน)
FTREIT,FTREIT,SET,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่าอสังหาริมทรัพย์เพื่ออุตสาหกรรม เฟรเซอร์ส พร็อพเพอร์ตี้
FUTUREPF,FUTUREPF,SET,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,กองทุนรวมสิทธิการเช่าอสังหาริมทรัพย์ฟิวเจอร์พาร์ค
FVC,FVC,MAI,บริการ,-,บริษัท ฟิลเตอร์ วิชั่น จำกัด (มหาชน)
GAHREIT,GAHREIT,SET,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์ แกรนด์ โฮสพีทาลิตี้
GBX,GBX,SET,ธุรกิจการเงิน,เงินทุนและหลักทรัพย์,บริษัท โกลเบล็ก โฮลดิ้ง แมนเนจเม้นท์ จำกัด (มหาชน)
GC,GC,SET,สินค้าอุตสาหกรรม,ปิโตรเคมีและเคมีภัณฑ์,บริษัท โกลบอล คอนเน็คชั่นส์ จำกัด (มหาชน)
GCAP,GCAP,MAI,ธุรกิจการเงิน,-,บริษัท จี แคปปิตอล จำกัด (มหาชน)
GEL,GEL,SET,อสังหาริมทรัพย์และก่อสร้าง,วัสดุก่อสร้าง,บริษัท เจนเนอรัล เอนจิเนียริ่ง จำกัด (มหาชน)
GENCO,GENCO,SET,บริการ,บริการเฉพาะกิจ,บริษัทบริหารและพัฒนาเพื่อการอนุรักษ์สิ่งแวดล้อม จำกัด(มหาชน)
GFPT,GFPT,SET,เกษตรและอุตสาหกรรมอาหาร,ธุรกิจการเกษตร,บริษัท จีเอฟพีที จำกัด (มหาชน)
GGC,GGC,SET,สินค้าอุตสาหกรรม,ปิโตรเคมีและเคมีภัณฑ์,บริษัท โกลบอลกรีนเคมิคอล จำกัด (มหาชน)
GIFT,GIFT,SET,สินค้าอุตสาหกรรม,ปิโตรเคมีและเคมีภัณฑ์,บริษัท แกรททิทูด อินฟินิท จำกัด (มหาชน)
GJS,GJS,SET,สินค้าอุตสาหกรรม,เหล็ก,บริษัท จี เจ สตีล จำกัด (มหาชน)
GL,GL,SET,ธุรกิจการเงิน,เงินทุนและหลักทรัพย์,บริษัท กรุ๊ปลีส จำกัด (มหาชน)
GLAND,GLAND,SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,บริษัท แกรนด์ คาแนล แลนด์ จำกัด (มหาชน)
GLOBAL,GLOBAL,SET,บริการ,พาณิชย์,บริษัท สยามโกลบอลเฮ้าส์ จำกัด (มหาชน)
GLOCON,GLOCON,SET,สินค้าอุตสาหกรรม,บรรจุภัณฑ์,บริษัท โกลบอล คอนซูเมอร์ จำกัด (มหาชน)
GPI,GPI,SET,บริการ,สื่อและสิ่งพิมพ์,บริษัท กรังด์ปรีซ์ อินเตอร์เนชั่นแนล จำกัด (มหาชน)
GRAMMY,GRAMMY,SET,บริการ,สื่อและสิ่งพิมพ์,บริษัท จีเอ็มเอ็ม แกรมมี่ จำกัด (มหาชน)
GRAND,GRAND,SET,บริการ,การท่องเที่ยวและสันทนาการ,บริษัท แกรนด์ แอสเสท โฮเทลส์ แอนด์ พรอพเพอร์ตี้ จำกัด(มหาชน)
GREEN,GREEN,SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,บริษัท กรีน รีซอร์สเซส จำกัด (มหาชน)
GSC,GSC,MAI,บริการ,-,บริษัท โกลบอล เซอร์วิส เซ็นเตอร์ จำกัด (มหาชน)
GSTEEL,GSTEEL,SET,สินค้าอุตสาหกรรม,เหล็ก,บริษัท จี สตีล จำกัด (มหาชน)
GTB,GTB,MAI,สินค้าอุตสาหกรรม,-,บริษัท เจตาแบค จำกัด (มหาชน)
GULF,GULF,SET,ทรัพยากร,พลังงานและสาธารณูปโภค,บริษัท กัลฟ์ เอ็นเนอร์จี ดีเวลลอปเมนท์ จำกัด (มหาชน)
GUNKUL,GUNKUL,SET,ทรัพยากร,พลังงานและสาธารณูปโภค,บริษัท กันกุลเอ็นจิเนียริ่ง จำกัด (มหาชน)
GVREIT,GVREIT,SET,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,ทรัสต์เพื่อการลงทุนในสิทธิการเช่าอสังหาริมทรัพย์โกลเด้นเวนเจอร์
GYT,GYT,SET,สินค้าอุตสาหกรรม,ยานยนต์,บริษัท กู๊ดเยียร์(ประเทศไทย) จำกัด (มหาชน)
HANA,HANA,SET,เทคโนโลยี,ชิ้นส่วนอิเล็กทรอนิกส์,บริษัท ฮานา ไมโครอิเล็คโทรนิคส จำกัด (มหาชน)
HARN,HARN,MAI,บริการ,-,บริษัท หาญ เอ็นจิเนียริ่ง โซลูชั่นส์ จำกัด (มหาชน)
HFT,HFT,SET,สินค้าอุตสาหกรรม,ยานยนต์,บริษัท ฮั้วฟง รับเบอร์ (ไทยแลนด์) จำกัด (มหาชน)
HMPRO,HMPRO,SET,บริการ,พาณิชย์,บริษัท โฮม โปรดักส์ เซ็นเตอร์ จำกัด (มหาชน)
HPF,HPF,SET,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,กองทุนรวมอสังหาริมทรัพย์และสิทธิการเช่าเหมราชอินดัสเตรียล
HPT,HPT,MAI,สินค้าอุปโภคบริโภค,-,บริษัท โฮม พอตเทอรี่ จำกัด (มหาชน)
HREIT,HREIT,SET,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,ทรัสต์เพื่อการลงทุนในสิทธิการเช่าอสังหาริมทรัพย์เหมราช
HTC,HTC,SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม,บริษัท หาดทิพย์ จำกัด (มหาชน)
HTECH,HTECH,SET,สินค้าอุตสาหกรรม,วัสดุอุตสาหกรรมและเครื่องจักร,บริษัท แฮลเซี่ยน เทคโนโลยี่ จำกัด (มหาชน)
HUMAN,HUMAN,SET,เทคโนโลยี,เทคโนโลยีสารสนเทศและการสื่อสาร,บริษัท ฮิวแมนิก้า จำกัด (มหาชน)
HYDRO,HYDRO,MAI,อสังหาริมทรัพย์และก่อสร้าง,-,บริษัท ไฮโดรเท็ค จำกัด (มหาชน)
ICC,ICC,SET,สินค้าอุปโภคบริโภค,แฟชั่น,บริษัท ไอ.ซี.ซี. อินเตอร์เนชั่นแนล จำกัด (มหาชน)
ICHI,ICHI,SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม,บริษัท อิชิตัน กรุ๊ป จำกัด (มหาชน)
ICN,ICN,MAI,เทคโนโลยี,-,บริษัท อินฟอร์เมชั่น แอนด์ คอมมิวนิเคชั่น เน็ทเวิร์คส จำกัด (มหาชน)
IFEC,IFEC,SET,ทรัพยากร,พลังงานและสาธารณูปโภค,บริษัท อินเตอร์ ฟาร์อีสท์ เอ็นเนอร์ยี่ คอร์ปอเรชั่น จำกัด (มหาชน)
